日期,開盤,最高,最低,收盤,成交量
2018-01-30,15.9,16.0,15.8,16.0,13640.0
2018-01-31,15.95,16.0,15.8,16.0,17002.0
2018-02-01,16.0,16.0,15.4,15.55,57001.0
2018-02-02,15.75,15.95,15.55,15.95,26198.0
2018-02-05,15.55,15.8,15.4,15.8,25076.0
2018-02-06,15.5,15.8,15.05,15.05,29113.0
2018-02-07,15.55,15.55,15.25,15.3,13206.0
2018-02-08,15.3,15.3,15.25,15.3,13122.0
2018-02-09,15.0,15.3,15.0,15.25,31300.0
2018-02-12,15.45,15.6,15.3,15.5,14664.0
2018-02-21,15.65,15.75,15.35,15.75,30011.0
2018-02-22,15.7,15.7,15.5,15.5,3142.0
2018-02-23,15.45,15.55,15.4,15.4,22001.0
2018-02-26,15.65,15.75,15.5,15.65,31002.0
2018-02-27,15.6,15.65,15.6,15.65,19006.0
2018-03-01,15.6,15.9,15.6,15.6,81037.0
2018-03-02,15.6,15.6,15.4,15.4,23002.0
2018-03-05,15.45,15.65,15.45,15.5,37003.0
2018-03-06,15.5,15.5,15.35,15.35,26002.0
2018-03-07,15.55,15.55,15.35,15.4,36000.0
2018-03-08,15.5,15.5,15.3,15.3,35001.0
2018-03-09,15.45,15.5,15.4,15.45,29000.0
2018-03-12,15.35,15.45,15.35,15.4,31000.0
2018-03-13,15.35,15.55,15.25,15.25,44020.0
2018-03-14,15.4,15.4,15.3,15.35,11000.0
2018-03-15,15.35,15.4,15.3,15.4,13020.0
2018-03-16,15.4,15.45,15.3,15.3,23284.0
2018-03-19,15.35,15.45,15.25,15.35,28518.0
2018-03-20,15.3,15.4,15.3,15.4,3273.0
2018-03-21,15.3,15.6,15.3,15.4,67598.0
2018-03-22,15.5,15.5,15.3,15.4,42159.0
2018-03-23,15.3,15.3,15.3,15.3,3001.0
2018-03-26,15.3,15.3,15.25,15.25,8300.0
2018-03-27,15.5,15.5,15.15,15.15,28002.0
2018-03-28,15.45,15.45,14.85,15.25,62728.0
2018-03-29,15.25,15.35,15.05,15.35,32500.0
2018-03-30,15.2,15.2,15.1,15.1,18115.0
2018-04-02,15.25,15.25,15.15,15.15,15001.0
2018-04-03,15.15,15.2,15.1,15.2,15003.0
2018-04-09,15.05,15.25,15.0,15.2,142500.0
2018-04-10,15.2,15.25,15.1,15.2,60783.0
2018-04-11,15.2,15.2,15.05,15.1,43454.0
2018-04-12,15.25,15.25,15.1,15.2,22550.0
2018-04-13,15.25,15.25,14.95,15.0,42901.0
2018-04-16,15.0,15.05,14.85,15.0,57800.0
2018-04-17,14.9,15.0,14.8,14.85,83201.0
2018-04-18,14.9,14.9,14.85,14.85,5353.0
2018-04-19,15.05,15.05,14.85,15.0,17000.0
2018-04-20,15.05,15.05,14.9,15.05,25200.0
2018-04-23,15.05,15.05,15.05,15.05,1000.0
2018-04-24,14.85,14.85,14.5,14.85,24002.0
2018-04-25,14.85,15.05,14.7,15.05,16200.0
2018-04-26,14.8,14.95,14.8,14.95,25725.0
2018-04-27,14.95,15.0,14.75,14.85,11134.0
2018-04-30,14.95,14.95,14.7,14.7,6001.0
2018-05-02,14.7,14.85,14.65,14.65,18273.0
2018-05-03,14.65,14.85,14.65,14.85,13300.0
2018-05-04,14.7,14.85,14.7,14.85,3398.0
2018-05-07,14.95,14.95,14.5,14.6,26300.0
2018-05-08,14.55,14.7,14.55,14.65,13100.0
2018-05-09,14.2,14.7,14.2,14.7,35005.0
2018-05-10,14.5,14.8,14.5,14.8,15200.0
2018-05-11,14.8,14.85,14.5,14.85,46001.0
2018-05-14,14.7,14.9,14.6,14.75,23200.0
2018-05-15,14.7,14.7,14.5,14.5,46699.0
2018-05-16,14.4,14.7,14.4,14.65,11906.0
2018-05-17,14.65,14.65,14.45,14.55,16500.0
2018-05-18,14.4,15.4,14.4,15.3,139612.0
2018-05-21,15.35,15.6,15.05,15.1,178012.0
2018-05-22,15.3,15.3,15.0,15.05,28000.0
2018-05-23,15.15,15.15,14.9,14.9,22501.0
2018-05-24,15.1,15.1,14.95,15.1,69115.0
2018-05-25,15.1,15.15,14.9,15.1,51465.0
2018-05-28,15.1,15.15,15.0,15.05,36005.0
2018-05-29,15.1,15.1,15.0,15.05,38013.0
2018-05-30,15.1,15.1,14.9,15.1,55311.0
2018-05-31,15.1,15.15,15.05,15.05,24100.0
2018-06-01,15.0,15.1,14.95,14.95,16111.0
2018-06-04,14.95,15.0,14.9,14.9,48700.0
2018-06-05,14.9,15.0,14.9,15.0,25400.0
2018-06-06,15.0,15.0,14.9,15.0,32100.0
2018-06-07,15.0,15.05,14.85,14.9,39707.0
2018-06-08,14.85,14.9,14.8,14.8,44811.0
2018-06-11,14.95,14.95,14.65,14.7,53002.0
2018-06-12,14.65,14.7,14.6,14.7,41514.0
2018-06-13,14.65,14.7,14.65,14.7,13100.0
2018-06-14,14.6,14.75,14.6,14.7,18115.0
2018-06-15,14.6,14.7,14.6,14.6,20100.0
2018-06-19,14.7,14.7,14.6,14.6,13001.0
2018-06-20,14.55,14.7,14.55,14.6,17303.0
2018-06-21,14.7,14.7,14.55,14.55,42003.0
2018-06-22,14.55,14.6,14.55,14.6,8001.0
2018-06-25,14.55,14.85,14.55,14.85,36298.0
2018-06-26,14.65,14.65,14.5,14.6,39001.0
2018-06-27,14.7,14.7,14.55,14.55,10001.0
2018-06-28,14.5,14.8,14.5,14.55,19500.0
2018-06-29,14.7,14.7,14.7,14.7,3769.0
2018-07-02,14.6,14.6,14.35,14.35,17000.0
2018-07-03,14.4,14.5,14.3,14.3,27022.0
2018-07-04,14.3,14.4,14.2,14.4,23028.0
2018-07-05,14.35,14.35,14.05,14.1,26103.0
2018-07-06,14.1,14.1,13.95,13.95,29000.0
2018-07-09,14.4,14.4,13.95,14.0,64029.0
2018-07-10,14.1,14.1,13.65,13.7,48314.0
2018-07-11,13.8,13.8,13.5,13.55,63300.0
2018-07-12,13.6,13.6,13.2,13.2,74220.0
2018-07-13,13.4,13.6,13.3,13.45,52028.0
2018-07-16,13.45,13.55,13.45,13.45,14004.0
2018-07-17,13.45,13.55,13.45,13.5,14001.0
2018-07-18,13.5,13.6,13.45,13.6,32500.0
2018-07-19,13.5,13.6,13.5,13.6,22101.0
2018-07-20,14.1,14.1,13.55,13.6,62200.0
2018-07-23,13.75,13.75,13.35,13.7,55600.0
2018-07-24,13.45,13.75,13.45,13.75,37850.0
2018-07-25,13.75,13.75,13.6,13.65,12005.0
2018-07-26,13.6,13.6,13.55,13.6,29249.0
2018-07-27,13.55,13.55,13.5,13.5,11040.0
2018-07-30,13.7,13.75,13.45,13.45,40256.0
2018-07-31,13.55,13.7,13.45,13.45,23000.0
2018-08-01,13.5,13.55,13.45,13.45,29620.0
2018-08-02,13.5,13.5,13.45,13.5,15700.0
2018-08-03,13.35,13.55,13.35,13.5,18009.0
2018-08-06,13.45,13.6,13.45,13.55,15570.0
2018-08-07,13.5,13.55,13.4,13.55,25048.0
2018-08-08,13.45,13.5,13.3,13.45,52798.0
2018-08-09,13.45,13.65,13.35,13.6,41501.0
2018-08-10,13.6,13.65,13.5,13.6,28002.0
2018-08-13,13.6,13.6,13.45,13.5,17003.0
2018-08-14,13.5,13.5,13.5,13.5,2042.0
2018-08-15,13.4,13.5,13.4,13.5,11000.0
2018-08-16,13.35,13.35,13.1,13.15,54107.0
2018-08-17,13.35,13.35,13.2,13.3,14002.0
2018-08-20,13.3,13.3,13.3,13.3,0.0
2018-08-21,13.35,13.45,13.3,13.45,14700.0
2018-08-22,13.45,13.45,13.2,13.25,13800.0
2018-08-23,13.2,13.35,13.2,13.3,21003.0
2018-08-24,13.4,13.45,13.3,13.4,28300.0
2018-08-27,13.5,13.5,13.4,13.4,6000.0
2018-08-28,13.5,13.55,13.15,13.2,71220.0
2018-08-29,13.15,13.2,13.05,13.05,29001.0
2018-08-30,13.2,13.2,12.8,12.85,57500.0
2018-08-31,12.8,12.95,12.7,12.75,79100.0
2018-09-03,12.75,12.75,12.55,12.55,43000.0
2018-09-04,12.55,12.55,12.35,12.35,52627.0
2018-09-05,12.35,12.65,12.35,12.45,47000.0
2018-09-06,12.7,12.8,12.55,12.55,32000.0
2018-09-07,12.7,12.7,12.5,12.55,37000.0
2018-09-10,12.55,12.55,12.35,12.55,15502.0
2018-09-11,12.4,12.4,12.3,12.4,20000.0
2018-09-12,12.4,12.4,12.35,12.35,2001.0
2018-09-13,12.3,12.5,12.3,12.4,12725.0
2018-09-14,12.6,12.6,12.45,12.55,14019.0
2018-09-17,12.4,12.4,12.4,12.4,18000.0
2018-09-18,12.45,12.45,12.35,12.35,6000.0
2018-09-19,12.4,12.65,12.4,12.55,40106.0
2018-09-20,12.6,12.6,12.4,12.55,21001.0
2018-09-21,12.4,12.55,12.4,12.55,12018.0
2018-09-25,12.5,12.5,12.5,12.5,2004.0
2018-09-26,12.5,12.55,12.4,12.55,6368.0
2018-09-27,12.55,12.6,12.5,12.6,6100.0
2018-09-28,12.6,12.6,12.6,12.6,12100.0
2018-10-01,12.3,12.5,12.3,12.5,11001.0
2018-10-02,12.55,12.55,12.5,12.5,23001.0
2018-10-03,12.4,12.6,12.4,12.5,16616.0
2018-10-04,12.4,12.55,12.4,12.55,6361.0
2018-10-05,12.6,12.6,12.25,12.25,26203.0
2018-10-08,12.25,12.35,12.25,12.25,19101.0
2018-10-09,12.25,12.25,12.1,12.25,21160.0
2018-10-11,11.95,11.95,11.2,11.25,41000.0
2018-10-12,11.0,11.1,10.35,10.9,162069.0
2018-10-15,10.9,10.9,10.7,10.7,13009.0
2018-10-16,10.9,10.9,10.7,10.8,26500.0
2018-10-17,10.9,10.9,10.8,10.8,21020.0
2018-10-18,10.7,10.8,10.65,10.65,12500.0
2018-10-19,10.45,10.6,10.4,10.6,30001.0
2018-10-22,10.6,10.6,10.5,10.6,19006.0
2018-10-23,10.7,10.7,10.4,10.4,15010.0
2018-10-24,10.4,10.4,10.1,10.25,28002.0
2018-10-25,10.0,10.0,9.8,10.0,59000.0
2018-10-26,10.0,10.1,9.92,9.99,35102.0
2018-10-29,9.77,9.94,9.2,9.9,102400.0
2018-10-30,10.1,10.1,9.71,9.91,88019.0
2018-10-31,9.73,10.1,9.73,10.0,47100.0
2018-11-01,10.0,10.0,9.99,10.0,14200.0
2018-11-02,9.9,10.1,9.9,10.0,15200.0
2018-11-05,9.95,10.1,9.95,10.1,24117.0
2018-11-06,10.25,10.25,10.1,10.15,24185.0
2018-11-07,10.15,10.15,10.15,10.15,0.0
2018-11-08,10.3,10.4,10.05,10.15,57110.0
2018-11-09,10.15,10.15,9.9,10.05,32100.0
2018-11-12,10.05,10.05,10.05,10.05,0.0
2018-11-13,9.88,10.1,9.5,10.1,105000.0
2018-11-14,9.86,9.99,9.6,9.94,79100.0
2018-11-15,9.73,9.81,9.7,9.76,66001.0
2018-11-16,9.69,9.88,9.68,9.7,29011.0
2018-11-19,9.7,9.78,9.64,9.74,68600.0
2018-11-20,10.15,10.15,9.76,9.96,72000.0
2018-11-21,9.96,9.96,9.85,9.85,40003.0
2018-11-22,10.05,10.05,9.9,9.94,23000.0
2018-11-23,9.94,9.94,9.94,9.94,0.0
2018-11-26,9.85,10.0,9.83,9.9,26600.0
2018-11-27,10.0,10.3,9.99,10.3,61000.0
2018-11-28,10.4,10.6,10.3,10.45,111410.0
2018-11-29,10.6,10.6,10.35,10.45,75000.0
2018-11-30,10.45,10.5,10.45,10.5,9000.0
2018-12-03,10.5,10.65,10.5,10.65,31200.0
2018-12-04,10.65,10.7,10.55,10.7,32100.0
2018-12-05,10.7,10.95,10.7,10.95,82000.0
2018-12-06,10.95,10.95,10.7,10.7,45704.0
2018-12-07,10.7,10.7,10.7,10.7,0.0
2018-12-10,11.0,11.0,10.6,10.7,61200.0
2018-12-11,10.7,10.7,10.7,10.7,0.0
2018-12-12,10.55,10.65,10.5,10.5,34200.0
2018-12-13,10.5,10.5,10.4,10.4,30000.0
2018-12-14,10.4,10.55,10.4,10.45,37000.0
2018-12-17,10.45,10.45,10.45,10.45,0.0
2018-12-18,10.45,10.45,10.45,10.45,0.0
2018-12-19,10.2,10.35,10.15,10.25,41004.0
2018-12-20,10.0,10.1,10.0,10.1,8000.0
2018-12-21,10.1,10.1,10.1,10.1,0.0
2018-12-24,10.25,10.3,10.2,10.2,20588.0
2018-12-25,10.1,10.1,10.0,10.0,13000.0
2018-12-26,10.05,10.1,10.0,10.0,16000.0
