日期,開盤,最高,最低,收盤,成交量
2018-01-30,12.7,12.75,12.7,12.7,87065.0
2018-01-31,12.8,12.85,12.7,12.7,68050.0
2018-02-01,12.85,12.85,12.75,12.75,34718.0
2018-02-02,12.75,12.75,12.75,12.75,20847.0
2018-02-05,12.8,12.8,12.75,12.8,39352.0
2018-02-06,12.7,12.7,12.05,12.55,235546.0
2018-02-07,12.8,12.8,12.1,12.45,98300.0
2018-02-08,12.45,12.75,12.45,12.45,16007.0
2018-02-09,12.15,12.15,12.1,12.15,38650.0
2018-02-12,12.45,12.6,12.45,12.6,39451.0
2018-02-21,12.7,12.75,12.6,12.75,26000.0
2018-02-22,12.8,12.8,12.75,12.8,23044.0
2018-02-23,12.95,13.0,12.8,12.95,23499.0
2018-02-26,13.05,13.05,12.8,12.8,25499.0
2018-02-27,12.85,12.85,12.7,12.7,48200.0
2018-03-01,12.6,12.95,12.4,12.8,69505.0
2018-03-02,12.8,13.3,12.7,12.7,64000.0
2018-03-05,12.7,12.8,12.7,12.7,44900.0
2018-03-06,12.7,12.8,12.5,12.65,72478.0
2018-03-07,12.65,12.65,12.6,12.65,24650.0
2018-03-08,12.65,12.65,12.6,12.65,50250.0
2018-03-09,12.65,12.65,12.6,12.6,42191.0
2018-03-12,12.6,12.75,12.6,12.6,34094.0
2018-03-13,12.8,12.95,12.4,12.85,85729.0
2018-03-14,12.65,12.65,12.65,12.65,1890.0
2018-03-15,12.65,12.65,12.65,12.65,13000.0
2018-03-16,12.6,12.65,12.6,12.65,8467.0
2018-03-19,12.65,12.65,12.65,12.65,20550.0
2018-03-20,12.6,12.8,12.6,12.65,18500.0
2018-03-21,12.8,12.8,12.7,12.7,8300.0
2018-03-22,12.8,12.8,12.55,12.6,91979.0
2018-03-23,12.35,12.6,12.35,12.6,19673.0
2018-03-26,12.5,12.7,12.5,12.65,9776.0
2018-03-27,12.7,13.35,12.55,12.75,73603.0
2018-03-28,12.65,12.7,12.65,12.65,6421.0
2018-03-29,12.75,12.75,12.65,12.65,13200.0
2018-03-30,12.65,12.7,12.65,12.7,5700.0
2018-04-02,12.7,12.8,12.65,12.65,19150.0
2018-04-03,12.7,12.7,12.6,12.65,94082.0
2018-04-09,12.65,12.65,12.6,12.6,28087.0
2018-04-10,12.6,12.6,12.55,12.6,25591.0
2018-04-11,12.6,12.7,12.55,12.65,26290.0
2018-04-12,12.6,12.7,12.6,12.6,11164.0
2018-04-13,12.6,12.6,12.55,12.55,16729.0
2018-04-16,12.6,12.6,12.55,12.55,13781.0
2018-04-17,12.5,12.5,12.4,12.45,105250.0
2018-04-18,12.5,12.5,12.5,12.5,3172.0
2018-04-19,12.5,12.55,12.5,12.5,32999.0
2018-04-20,12.6,12.6,12.55,12.6,7002.0
2018-04-23,12.6,12.6,12.5,12.5,43964.0
2018-04-24,12.55,12.6,12.4,12.6,78496.0
2018-04-25,12.4,12.6,12.4,12.55,46715.0
2018-04-26,12.6,12.75,12.6,12.6,11660.0
2018-04-27,12.45,12.6,12.4,12.5,39923.0
2018-04-30,12.6,12.6,12.25,12.45,59607.0
2018-05-02,12.4,12.5,12.3,12.4,31718.0
2018-05-03,12.5,12.5,12.5,12.5,12476.0
2018-05-04,12.6,12.6,12.5,12.5,66201.0
2018-05-07,12.5,12.5,12.5,12.5,22492.0
2018-05-08,12.5,12.5,12.5,12.5,58119.0
2018-05-09,12.5,12.55,12.4,12.55,109499.0
2018-05-10,12.5,12.5,12.5,12.5,67250.0
2018-05-11,12.55,12.55,12.5,12.5,2950.0
2018-05-14,12.45,12.55,12.45,12.55,29499.0
2018-05-15,12.55,12.55,12.5,12.5,22079.0
2018-05-16,12.5,12.5,12.5,12.5,92708.0
2018-05-17,12.55,12.55,12.55,12.55,11407.0
2018-05-18,12.55,12.6,12.55,12.6,52499.0
2018-05-21,12.6,12.6,12.5,12.5,40200.0
2018-05-22,12.6,12.6,12.5,12.5,38000.0
2018-05-23,12.6,12.65,12.5,12.5,23882.0
2018-05-24,12.6,12.7,12.6,12.6,14393.0
2018-05-25,12.6,12.6,12.5,12.5,25359.0
2018-05-28,12.2,12.65,12.2,12.5,67175.0
2018-05-29,12.3,12.5,12.3,12.5,20861.0
2018-05-30,12.4,12.55,12.4,12.5,12588.0
2018-05-31,12.5,12.5,12.5,12.5,41018.0
2018-06-01,12.5,12.5,12.5,12.5,7438.0
2018-06-04,12.5,12.5,12.5,12.5,40500.0
2018-06-05,12.5,12.5,12.4,12.4,29329.0
2018-06-06,12.5,12.55,12.5,12.5,33253.0
2018-06-07,12.6,12.7,12.5,12.5,18715.0
2018-06-08,12.5,12.5,12.5,12.5,14111.0
2018-06-11,12.5,12.5,12.5,12.5,21070.0
2018-06-12,12.6,12.7,12.5,12.5,67695.0
2018-06-13,12.5,12.55,12.5,12.5,78287.0
2018-06-14,12.5,12.6,12.5,12.6,327499.0
2018-06-15,12.55,12.55,12.55,12.55,11129.0
2018-06-19,12.7,12.7,12.5,12.5,10650.0
2018-06-20,12.5,12.65,12.5,12.65,4671.0
2018-06-21,12.55,12.55,12.55,12.55,1580.0
2018-06-22,12.5,12.55,12.5,12.55,73850.0
2018-06-25,12.55,12.55,12.55,12.55,5300.0
2018-06-26,12.55,12.55,12.5,12.55,7000.0
2018-06-27,12.5,12.5,12.5,12.5,25886.0
2018-06-28,12.7,13.3,12.7,12.7,26450.0
2018-06-29,13.0,13.0,12.6,12.6,46500.0
2018-07-02,12.5,12.55,12.5,12.55,13500.0
2018-07-03,12.5,12.5,12.4,12.4,30941.0
2018-07-04,12.5,12.55,12.5,12.55,6500.0
2018-07-05,12.4,12.55,12.3,12.45,39000.0
2018-07-06,12.4,12.6,12.4,12.6,41427.0
2018-07-09,12.7,12.85,12.7,12.85,10188.0
2018-07-10,12.55,12.65,12.55,12.65,6015.0
2018-07-11,12.55,12.65,12.55,12.65,2000.0
2018-07-12,12.5,12.5,12.5,12.5,8084.0
2018-07-13,12.5,12.5,12.5,12.5,7001.0
2018-07-16,12.5,12.5,12.4,12.45,74834.0
2018-07-17,12.6,12.65,12.4,12.5,30461.0
2018-07-18,12.4,12.7,11.4,12.7,96682.0
2018-07-19,12.5,12.5,12.5,12.5,14111.0
2018-07-20,12.7,12.7,12.4,12.4,30999.0
2018-07-23,12.5,12.5,12.4,12.4,75794.0
2018-07-24,12.5,12.5,12.5,12.5,30999.0
2018-07-25,12.5,12.5,12.5,12.5,3003.0
2018-07-26,12.5,12.5,12.5,12.5,0.0
2018-07-27,12.5,12.5,12.5,12.5,11999.0
2018-07-30,12.5,12.5,12.5,12.5,0.0
2018-07-31,12.5,12.5,12.5,12.5,20650.0
2018-08-01,12.5,12.5,12.5,12.5,1596.0
2018-08-02,12.5,12.5,12.5,12.5,14000.0
2018-08-03,12.5,12.5,12.3,12.5,16385.0
2018-08-06,12.3,12.55,12.2,12.5,53479.0
2018-08-07,12.5,12.55,12.5,12.5,4720.0
2018-08-08,12.5,12.5,12.5,12.5,8190.0
2018-08-09,12.5,12.6,12.5,12.6,41715.0
2018-08-10,12.5,12.5,12.45,12.5,41256.0
2018-08-13,12.5,12.5,12.5,12.5,22205.0
2018-08-14,12.5,12.5,12.5,12.5,2006.0
2018-08-15,12.5,12.5,12.4,12.4,32950.0
2018-08-16,12.5,12.5,12.5,12.5,46844.0
2018-08-17,12.5,12.7,12.5,12.5,23367.0
2018-08-20,12.5,12.6,12.5,12.6,23549.0
2018-08-21,12.5,12.8,12.5,12.8,14499.0
2018-08-22,12.75,12.75,12.5,12.65,9396.0
2018-08-23,12.5,12.5,12.5,12.5,2002.0
2018-08-24,12.5,12.5,12.5,12.5,23001.0
2018-08-27,12.5,12.5,12.5,12.5,0.0
2018-08-28,12.5,12.55,12.5,12.55,5900.0
2018-08-29,12.5,12.5,12.5,12.5,22586.0
2018-08-30,12.55,12.55,12.5,12.5,3061.0
2018-08-31,12.5,12.5,12.45,12.45,30426.0
2018-09-03,12.4,12.5,12.4,12.45,34050.0
2018-09-04,12.5,12.55,12.5,12.55,56034.0
2018-09-05,12.55,12.55,12.5,12.5,24237.0
2018-09-06,12.5,12.5,12.4,12.45,18762.0
2018-09-07,12.4,12.45,12.4,12.4,26500.0
2018-09-10,12.4,12.7,12.4,12.7,54554.0
2018-09-11,12.6,12.6,12.6,12.6,1130.0
2018-09-12,12.7,12.7,12.5,12.5,5568.0
2018-09-13,12.65,12.65,12.6,12.6,19660.0
2018-09-14,12.55,12.55,12.5,12.5,2495.0
2018-09-17,12.65,12.65,12.65,12.65,1807.0
2018-09-18,12.65,12.65,12.65,12.65,0.0
2018-09-19,12.65,12.65,12.0,12.45,94000.0
2018-09-20,12.45,12.45,12.45,12.45,0.0
2018-09-21,12.45,12.5,12.45,12.5,14650.0
2018-09-25,12.45,12.45,12.45,12.45,2495.0
2018-09-26,12.6,12.6,12.45,12.45,5996.0
2018-09-27,12.5,12.5,12.45,12.45,9310.0
2018-09-28,12.4,12.45,12.4,12.45,13466.0
2018-10-01,12.45,12.45,12.45,12.45,15743.0
2018-10-02,12.4,12.4,12.4,12.4,4183.0
2018-10-03,12.45,12.45,12.45,12.45,24747.0
2018-10-04,12.45,12.45,12.4,12.4,106262.0
2018-10-05,12.45,12.45,12.3,12.3,35078.0
2018-10-08,12.85,12.85,12.05,12.25,41562.0
2018-10-09,12.35,12.65,12.35,12.4,9000.0
2018-10-11,11.2,11.65,11.2,11.65,59360.0
2018-10-12,11.0,12.55,11.0,12.3,103500.0
2018-10-15,12.1,12.25,11.8,12.25,44000.0
2018-10-16,12.3,12.35,12.0,12.35,8264.0
2018-10-17,12.1,12.4,12.1,12.35,14065.0
2018-10-18,12.45,12.45,12.15,12.45,24195.0
2018-10-19,12.6,12.6,12.2,12.45,26150.0
2018-10-22,12.4,12.45,12.4,12.45,11651.0
2018-10-23,12.45,12.45,12.4,12.4,11250.0
2018-10-24,12.4,12.4,12.4,12.4,20000.0
2018-10-25,12.0,12.3,12.0,12.2,22300.0
2018-10-26,12.4,12.4,12.25,12.25,25008.0
2018-10-29,12.4,12.4,12.3,12.35,23000.0
2018-10-30,12.4,12.45,12.3,12.3,39227.0
2018-10-31,12.4,12.45,12.35,12.45,57628.0
2018-11-01,12.45,12.55,12.4,12.5,7000.0
2018-11-02,12.6,12.6,12.4,12.6,6608.0
2018-11-05,12.5,12.5,12.4,12.4,31304.0
2018-11-06,12.5,12.5,12.4,12.4,12000.0
2018-11-07,12.4,12.4,12.4,12.4,0.0
2018-11-08,12.4,12.4,12.4,12.4,3032.0
2018-11-09,12.4,12.4,12.4,12.4,0.0
2018-11-12,12.4,12.4,12.4,12.4,0.0
2018-11-13,12.4,12.4,12.4,12.4,0.0
2018-11-14,12.4,12.4,12.4,12.4,0.0
2018-11-15,12.4,12.4,12.4,12.4,0.0
2018-11-16,12.4,12.4,12.05,12.35,88544.0
2018-11-19,12.35,12.35,12.35,12.35,0.0
2018-11-20,12.35,12.35,12.35,12.35,4000.0
2018-11-21,12.35,12.35,12.35,12.35,0.0
2018-11-22,12.35,12.35,12.35,12.35,0.0
2018-11-23,12.35,12.35,12.35,12.35,0.0
2018-11-26,12.45,12.75,12.45,12.5,28000.0
2018-11-27,12.5,12.55,12.5,12.55,2000.0
2018-11-28,12.55,12.55,12.55,12.55,0.0
2018-11-29,12.55,12.55,12.55,12.55,0.0
2018-11-30,12.4,12.4,12.4,12.4,17000.0
2018-12-03,12.4,12.4,12.4,12.4,0.0
2018-12-04,12.4,12.4,12.4,12.4,0.0
2018-12-05,12.4,12.5,12.4,12.45,54000.0
2018-12-06,12.4,12.4,12.4,12.4,27485.0
2018-12-07,12.4,12.4,12.4,12.4,0.0
2018-12-10,12.4,12.4,12.4,12.4,0.0
2018-12-11,12.4,12.4,12.4,12.4,0.0
2018-12-12,12.35,12.35,12.35,12.35,47094.0
2018-12-13,12.35,12.35,12.35,12.35,32380.0
2018-12-14,12.35,12.35,12.35,12.35,101301.0
2018-12-17,12.35,12.35,12.35,12.35,0.0
2018-12-18,12.35,12.35,12.35,12.35,0.0
2018-12-19,12.35,12.35,12.35,12.35,0.0
2018-12-20,12.35,12.45,12.35,12.4,13000.0
2018-12-21,12.4,12.4,12.4,12.4,0.0
2018-12-24,12.35,12.35,12.35,12.35,1550.0
2018-12-25,12.35,12.35,12.3,12.3,43000.0
2018-12-26,12.4,12.4,12.35,12.35,8000.0
2018-12-27,12.4,12.4,12.35,12.35,24011.0
2018-12-28,12.35,12.35,12.35,12.35,10927.0
2019-01-02,12.35,12.35,12.35,12.35,27000.0
2019-01-03,12.35,12.35,12.35,12.35,5000.0
2019-01-04,12.35,12.4,12.35,12.35,29000.0
2019-01-07,12.25,12.35,12.25,12.35,13002.0
2019-01-08,12.35,12.35,12.35,12.35,9000.0
2019-01-09,12.45,12.45,12.4,12.4,5010.0
2019-01-10,12.35,12.35,12.35,12.35,10454.0
2019-01-11,12.35,12.35,12.35,12.35,15343.0
2019-01-14,12.35,12.35,12.35,12.35,32079.0
2019-01-15,12.35,12.35,12.35,12.35,13300.0
2019-01-16,12.35,12.35,12.35,12.35,15778.0
2019-01-17,12.35,12.35,12.35,12.35,4050.0
2019-01-18,12.35,12.35,12.35,12.35,4650.0
2019-01-21,12.3,12.35,12.3,12.35,3300.0
2019-01-22,12.3,12.3,12.3,12.3,2000.0
2019-01-23,12.35,12.35,12.35,12.35,12259.0
2019-01-24,12.35,12.35,12.3,12.3,43979.0
2019-01-25,12.35,12.35,12.35,12.35,33350.0
2019-01-28,12.35,12.35,12.3,12.3,22105.0
2019-01-29,12.35,12.35,12.35,12.35,15106.0
2019-01-30,12.35,12.4,12.3,12.35,69087.0
2019-02-11,12.35,12.35,12.35,12.35,5205.0
2019-02-12,12.3,12.35,12.3,12.35,5087.0
2019-02-13,12.3,12.4,12.3,12.35,26562.0
2019-02-14,12.4,12.5,12.35,12.35,39949.0
2019-02-15,12.3,12.4,12.3,12.3,8999.0
2019-02-18,12.35,12.4,12.3,12.3,43147.0
2019-02-19,12.35,12.4,12.35,12.4,43000.0
2019-02-20,12.35,12.8,12.35,12.8,182466.0
2019-02-21,12.55,12.55,12.5,12.5,5006.0
2019-02-22,12.5,12.6,12.5,12.6,15000.0
2019-02-25,12.6,12.6,12.4,12.4,19800.0
2019-02-26,12.4,12.4,12.4,12.4,11373.0
2019-02-27,12.45,12.45,12.45,12.45,3496.0
2019-03-04,12.35,12.45,12.35,12.45,10130.0
2019-03-05,12.35,12.35,12.35,12.35,9382.0
2019-03-06,12.35,12.4,12.35,12.4,11845.0
2019-03-07,12.4,12.4,12.35,12.35,10650.0
2019-03-08,12.35,12.4,12.35,12.4,18428.0
2019-03-11,12.3,12.45,12.3,12.35,31130.0
2019-03-12,12.35,12.35,12.35,12.35,17653.0
2019-03-13,12.3,12.4,12.3,12.35,6768.0
2019-03-14,12.35,13.3,12.35,12.8,3243844.0
2019-03-15,12.9,13.0,12.4,12.6,66966.0
2019-03-18,12.4,12.55,12.35,12.4,28254.0
2019-03-19,12.35,12.4,12.35,12.4,61280.0
2019-03-20,12.35,12.65,12.35,12.65,20916.0
2019-03-21,12.45,12.45,12.3,12.3,27373.0
2019-03-22,12.3,12.4,12.3,12.35,33772.0
2019-03-25,12.3,12.8,12.3,12.55,54507.0
2019-03-26,12.45,12.45,12.35,12.4,24129.0
2019-03-27,12.4,12.45,12.4,12.45,6548.0
2019-03-28,12.35,12.35,12.35,12.35,6000.0
2019-03-29,12.35,12.35,12.35,12.35,2944.0
2019-04-01,12.35,12.35,12.35,12.35,14929.0
2019-04-02,12.35,12.45,12.35,12.45,38710.0
2019-04-03,12.45,12.45,12.35,12.35,22303.0
2019-04-08,12.35,12.35,12.35,12.35,24147.0
2019-04-09,12.35,12.8,12.35,12.35,66792.0
2019-04-10,12.35,12.4,12.35,12.4,16183.0
2019-04-11,12.35,12.4,12.35,12.4,5000.0
2019-04-12,12.35,12.45,12.35,12.45,5067.0
2019-04-15,12.35,12.5,12.35,12.5,17642.0
2019-04-16,12.35,12.35,12.35,12.35,20732.0
2019-04-17,12.35,13.0,12.35,13.0,60661.0
2019-04-18,13.0,13.0,12.5,12.65,16849.0
2019-04-19,12.65,12.65,12.55,12.55,3142.0
2019-04-22,12.5,12.65,12.5,12.65,6703.0
2019-04-23,12.5,12.5,12.5,12.5,1000.0
2019-04-24,12.5,12.5,12.4,12.4,7250.0
2019-04-25,12.5,12.5,12.4,12.4,18512.0
2019-04-26,12.4,12.4,12.35,12.35,15198.0
2019-04-29,12.4,12.4,12.4,12.4,2168.0
2019-04-30,12.4,12.4,12.3,12.35,65120.0
2019-05-02,12.3,12.3,12.3,12.3,7111.0
2019-05-03,12.3,12.35,12.3,12.35,15184.0
2019-05-06,12.35,12.35,12.3,12.35,263400.0
2019-05-07,12.35,12.45,12.35,12.45,4634.0
2019-05-08,12.5,12.6,12.5,12.55,14000.0
2019-05-09,12.3,12.35,12.2,12.35,8000.0
2019-05-10,12.1,12.4,12.1,12.4,58614.0
2019-05-13,12.35,12.35,12.35,12.35,8321.0
2019-05-14,12.3,12.4,12.3,12.35,68002.0
2019-05-15,12.5,12.5,12.35,12.35,2065.0
2019-05-16,12.5,12.5,12.4,12.4,3850.0
2019-05-17,12.35,12.35,12.35,12.35,13433.0
2019-05-20,12.35,12.35,12.35,12.35,0.0
2019-05-21,12.35,12.45,12.35,12.45,48154.0
2019-05-22,12.45,12.45,12.35,12.35,7200.0
2019-05-23,12.35,12.35,12.3,12.35,8154.0
2019-05-24,12.35,12.35,12.35,12.35,14877.0
2019-05-27,12.35,12.35,12.35,12.35,14899.0
2019-05-28,12.35,12.4,12.35,12.4,32060.0
2019-05-29,12.35,12.35,12.35,12.35,13126.0
2019-05-30,12.35,12.4,12.2,12.4,16650.0
2019-05-31,12.35,12.35,12.3,12.35,11873.0
2019-06-03,12.35,12.35,12.35,12.35,19678.0
2019-06-04,12.35,12.35,12.35,12.35,1554.0
2019-06-05,12.35,12.35,12.35,12.35,14279.0
2019-06-06,12.35,12.35,12.35,12.35,5525.0
2019-06-10,12.35,12.35,12.35,12.35,3000.0
2019-06-11,12.35,12.35,12.35,12.35,59000.0
2019-06-12,12.35,12.35,12.3,12.35,82250.0
2019-06-13,12.35,12.4,12.35,12.4,24710.0
2019-06-14,12.4,12.4,12.4,12.4,4084.0
2019-06-17,12.35,12.35,12.3,12.3,32033.0
2019-06-18,12.35,12.4,12.3,12.35,34176.0
2019-06-19,12.35,12.45,12.35,12.45,45474.0
